COURSE NO.,COURSE TITLE,SECTION,INSTRUCTOR,ROOM,DAYS,HOURS
CS G519,SOCIAL MEDIA ANALYTICS,1,JABEZ J CHRISTOPHER,F101,M W F,10
CS G519,Practical,1,Jabez J Christopher,LAB,T,8 9
CS G525,ADV COMPUTER NETWORKS,1,NIKUMANI CHOUDHURY,I111,T Th S,4
CS G525,Practical,1,Nikumani Choudhury,I014,M W,8 9
CS G526,ADV ALGORITHMS & COMPLEXITY,1,APURBA DAS,I111,M W F,4
CS G526,Practical,1,Apurba Das,I014,T Th,2 3
CS G527,CLOUD COMPUTING,1,SUBHRAKANTA PANDA,I112,M W F,3
CS G553,RECONFIGURABLE COMPUTING,1,S K SAHOO,F101,M W F,6
CS G553,Practical,1,S K Sahoo,LAB,Th,7 8
CS G623,ADVANCED OPERAT SYSTEMS,1,PRAGATI SHRIVASTAVA,I113,M W F,5
CS G623,Practical,1,Pragati Shrivastava,I014,T Th,8 9
DE G531,PRODUCT DESIGN,1,NITIN RAMESH K,G206,T Th,5
DE G531,PRODUCT DESIGN,1,Nitin Ramesh K,G206,S,1
DE G531,Practical,1,Aarjoo Jaimin,D208 C,T Th,7 8
DE G611,DYNAMICS & VIBRATION,1,G R SABAREESH,F205,M W F,3
DE G611,Practical,1,G R Sabareesh,LAB,M W,7 8
